RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          900     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   76     0     0  con    0  1.0D+00  1.3D+00  2.323D-03  1.347D+00
   73   77     0     0  con    0  1.0D+00  1.3D+00  3.663D-03  1.344D+00
   74   79     0     0  con    1  5.1D-01  1.2D+00  5.000D-03  1.341D+00
   75   80     0     0  con    0  1.0D+00  1.2D+00  2.943D-03  1.338D+00
   76   81     0     0  con    0  1.0D+00  5.3D-01  2.473D-03  1.336D+00
   77   82     0     0  con    0  1.0D+00  6.7D-01  3.099D-03  1.334D+00
   78   83     0     0  con    0  1.0D+00  5.6D-01  3.835D-03  1.333D+00
   79   84     0     0  con    0  1.0D+00  6.0D-01  2.529D-03  1.331D+00
   80   85     0     0  con    0  1.0D+00  1.5D+00  3.303D-03  1.328D+00
   81   86     0     0  con    0  1.0D+00  7.1D-01  2.195D-03  1.327D+00
   82   87     0     0  con    0  1.0D+00  3.3D-01  2.440D-03  1.325D+00
   83   88     0     0  con    0  1.0D+00  1.0D+00  4.195D-03  1.322D+00
   84   89     0     0  con    0  1.0D+00  1.4D+00  7.539D-03  1.321D+00
   85   90     0     0  con    0  1.0D+00  6.6D-01  3.493D-03  1.318D+00
   86   91     0     0  con    0  1.0D+00  5.4D-01  2.124D-03  1.316D+00
   87   92     0     0  con    0  1.0D+00  5.7D-01  2.232D-03  1.314D+00
   88   93     0     0  con    0  1.0D+00  1.1D+00  4.829D-03  1.311D+00
   89   94     0     0  con    0  1.0D+00  1.3D+00  3.844D-03  1.309D+00
   90   95     0     0  con    0  1.0D+00  3.5D-01  2.321D-03  1.308D+00
   91   96     0     0  con    0  1.0D+00  6.6D-01  2.287D-03  1.306D+00
   92   97     0     0  con    0  1.0D+00  8.5D-01  6.147D-03  1.305D+00
   93   98     0     0  con    0  1.0D+00  8.4D-01  4.047D-03  1.302D+00
   94   99     0     0  con    0  1.0D+00  1.2D+00  3.310D-03  1.300D+00
   95  100     0     0  con    0  1.0D+00  5.8D-01  3.884D-03  1.298D+00
   96  101     0     0  con    0  1.0D+00  1.3D+00  4.334D-03  1.294D+00
   97  103     0     0  con    1  4.4D-01  1.0D+00  4.754D-03  1.292D+00
   98  104     0     0  con    0  1.0D+00  1.4D+00  3.234D-03  1.287D+00
   99  105     0     0  con    0  1.0D+00  1.2D+00  3.053D-03  1.283D+00
  100  106     0     0  con    0  1.0D+00  7.4D-01  3.153D-03  1.281D+00
  101  107     0     0  con    0  1.0D+00  9.1D-01  5.404D-03  1.279D+00
  102  108     0     0  con    0  1.0D+00  1.8D-01  2.733D-03  1.277D+00
  103  109     0     0  con    0  1.0D+00  8.2D-01  2.221D-03  1.275D+00
  104  110     0     0  con    0  1.0D+00  4.8D-01  2.579D-03  1.273D+00
  105  111     0     0  con    0  1.0D+00  1.8D+00  6.031D-03  1.271D+00
  106  112     0     0  con    0  1.0D+00  3.2D-01  2.553D-03  1.268D+00
  107  113     0     0  con    0  1.0D+00  2.6D-01  1.959D-03  1.266D+00
  108  114     0     0  con    0  1.0D+00  5.6D-01  4.203D-03  1.264D+00
  109  115     0     0  con    0  1.0D+00  7.2D-01  3.692D-03  1.262D+00
  110  116     0     0  con    0  1.0D+00  2.9D-01  3.391D-03  1.261D+00
  111  117     0     0  con    0  1.0D+00  1.8D+00  3.483D-03  1.256D+00
  112  119     0     0  con    1  4.4D-01  4.0D-01  3.300D-03  1.254D+00
  113  120     0     0  con    0  1.0D+00  1.1D-01  2.860D-03  1.253D+00
  114  121     0     0  con    0  1.0D+00  1.3D+00  3.135D-03  1.249D+00
  115  122     0     0  con    0  1.0D+00  8.2D-01  3.065D-03  1.247D+00
  116  123     0     0  con    0  1.0D+00  7.0D-01  2.465D-03  1.246D+00
  117  124     0     0  con    0  1.0D+00  5.3D-01  2.208D-03  1.245D+00
  118  125     0     0  con    0  1.0D+00  5.6D-01  2.181D-03  1.243D+00
  119  126     0     0  con    0  1.0D+00  9.8D-01  4.871D-03  1.242D+00
  120  127     0     0  con    0  1.0D+00  5.0D-01  3.229D-03  1.240D+00
  121  128     0     0  con    0  1.0D+00  1.1D-01  1.714D-03  1.240D+00
  122  129     0     0  con    0  1.0D+00  2.4D-01  2.411D-03  1.238D+00
  123  130     0     0  con    0  1.0D+00  5.1D-01  2.788D-03  1.237D+00
  124  131     0     0  con    0  1.0D+00  1.1D+00  3.430D-03  1.234D+00
  125  132     0     0  con    0  1.0D+00  1.3D+00  4.451D-03  1.233D+00
  126  133     0     0  con    0  1.0D+00  1.5D-01  3.433D-03  1.231D+00
  127  134     0     0  con    0  1.0D+00  2.1D-01  1.889D-03  1.229D+00
  128  135     0     0  con    0  1.0D+00  3.9D-01  1.995D-03  1.228D+00
  129  136     0     0  con    0  1.0D+00  1.2D+00  5.369D-03  1.225D+00
